document_id,clean_text,sentiment
59,"shangshi legend ten rings definitely pretty high mcu list lot really well directed action sequences lot previous mcu fight scenes kind hard even tell going half time shangshi fight scenes really interesting like one scene bus get continuous shot shangshi moving bus bunch people scene theyre attacked side building half climb thing jumping swinging around also movie looks awesome times kinda like light show special effects look great movie well directed fun watch

really problem movie smaller like movie kinda slows toward middle theres also scene toward end movie see flashing back mom getting taken away seems kinda useless dramatize everything reach big climax

but movie totally worth watch highly recommend",Positive
60,"film felt refreshing didnt feel much like marvel movie felt like watching mythological modern film

i good time watching downside cgi felt rushed points iwas willing overlook think worth watch",Neutral
61,destin daniel crettons shangchi legend ten rings marks bland start new phase marvel cinematic universe spectacle regards action sequence fighting choreography film misses solid storyline origin story titular character lacks personality go heroic transformation story arc simu liu strong presence shangchi yet overshadowed many experienced costars,Negative
62," years almost every movie beingarmed combat one fresh perfect start phase  yes start black widow something old related previous phases loved every single moment got chills laughed soundtrack astonishing thecinematography best mcu may loved colors fighting sequence leave attached screen seem like dancing combined something else completely new cant wait see simu liu shangchi wasbrilliant

go see movie",Negative
63,much better lot avengers spin offs entertainment without limits apart technical goofs great mix magic action nice see ordinary looking actors getting main parts,Positive
64,beginning end enjoyed movie well done characters well written honestly would love see shang chi characters future marvel movies tv shows love phase  going far wait see expanding marvel cinematic universe movies tv shows overall fantastic film,Negative
65,ever watched one movie cinema entire span days make phenomenal sight sound super spectacular sensory sensation smashes everything park,Positive
66,film great overall genre least one best year round generally lacklustre definitely good movie watch supposed generally setup film something bigger mcu,Positive
67,"watching movie theater thought wow expected visually appealing thought would nd watch really impressed rock solid story loved way humanized xu wenwu made tragic love story acting amazing came amazing actors obviously tony leung ben kingsley michelle yeoh legends acted accordingly simu liu rightfully superstar performance want see menger zhang think huge potential disappointment quickly death dealer died andy le awesome performer

combining everything may favorite marvel movie time didnt even mention morris",Positive
68,"fun solid blockbuster elevated sensitive treatment culture migrant experience fight choreography excellent best ive seen  dynamic engaging fresh soundtrack also incredible

the film takes care depict lives millenial asian migrants including karaoke  source asian millennial migrant

strongest point movie alwayssuperb tony leung really brings character wenwu life one best  honestly best marvel villain date wish michelle yeoh bit screen",Positive
70,one marvel favs fan since beginning movie beautifully written storyline original creative acting impeccable another phase  hit,Positive
71,"shangchi legend ten rings th mcu marvel cinematic universe movie also st major asian representation mcu

i loved film amazing story filled lot elegant eyepleasing scenes super awesome crazy action scenes bus fight movie also includes amazing martial art techniques beautiful chinese things too

this film doesnt recognizable adult stuff violent action scenes many previous mcu productions makes film shangchi suitable even younger kids like age  didnt even feel time passing watching film story amazing flow stuff mentioned cant say anything else movie might include spoilers

shangchi legend ten rings amazing beautiful action packed movie start major asian representations mcu",Negative
72,"marvel movie released audience certain expectation movie exceeds expectations marvel movie great story great cast casting directing specially art direction movie certain quality usually could see movies recent past

overall mystical theme movie added special feel marvel movies",Positive
73,thats least minimum youd want type action film bus scene whhooo also loved mixture languages scenes dont problem subtitles leads well cast several supporting characters script pretty tight,Negative
74,"action scenes par crouching tiger hidden dragon awesome awesome kung fu movies came bruce bruce lee jackie chan jackie chan elements elements fight scenes

the comedy top much forced areas break heavy drama like cape dr strange whipping away tear

hoodnmobie better expected",Positive
75,film us well written directed action sequences well choreographed origin story give marvel movie vibein positive way unless see post credit scenes yes  credit scenes simu liu tony highlight movie awkwafina also performed well chemistry simu extraordinary comic timing also perfect,Negative
76,"far visuals go movie amazing like impressive dune filled brim eyecandy

the plotstory however mediocre filled plot holes characters actions often unrealistic often stare awe friends killed instead realistic thing immediately defending friends something happens like  times honestly spoils movie characters movie dont act react realistically stare something like braindead zombie like friends getting killed right front whilst holding gun freeking hands really terrible scriptplot writing

overall movie isnt bad antman  far behind also awkwafinas acting style already old nd movie characters movies person like said got boring nd movie roll eyes everything awkwafinas character movie

its  movie really worth watch unless youre real diehard marvel fan",Positive
77,"im big time marvel fan would anyway rated movie good genuinely loved movie instantly rewatched rarely given plethora content available days

i would even rate movie better endgame action less talking",Positive
78,"appreciate character played tony leung chiuwai xu wenwu acting charm charisma brilliant even though villain empowered acting skills

the movie exceptional choreographed action choreography witnessed since captain america winter soldier great sequences martial craftsmanship",Positive
79,tad heavy cgi bit much wire work making like crouching tiger fight scenes definitely one ill enjoy rewatching,Positive
80,movie stunning visual effects heart story phenomenal cast laughed cried sat edge seat well worth taking risk pandemic go see one theater music great well definitely buy comes rewatch one best marvel movies imo,Positive
81,see sir ben kingsley reprise role comedy relief movie already us suffering another awkafina performance sad redundant happens disney marvel try hard find path forward endgame asian theme new vague attempts tie movie mcu smack desperation good movie lot expensive visuals make movie good lots narrative exposition explain visuals make movie good interesting understand show business movie made make money hadnt lucky enough watch disney would feel cheated,Positive
82,boring poor storylinewhy dragon asian origin movie stereotype marvels sad attempt cover asian market avoid,Negative
83,"blown away movie reminds old jackie chan movie yet still modern enough bring new audience acting great special effects amazing fight scenes omg best fight scenes ever scene movie soundtrack go along perfect

all great addition mcu im excited see go shangchi next mcu",Positive
84,loved movie  awesome  fact ive never seen type amazing marvel moviethe story line  graphics  vfx  visuals fantaboulous strongly suggest whatch piece art loved acting actors  really loved way mixed american chinese culture chinese language used  great movie,Positive
85,"cgi rather mudane tony leung performance simply brilliant

its like eye transmit sorrow simply brilliant think award apt

the henchmen rather underwhelming well saved tonys performance wish story dragon evil dragon",Positive
86,great effects waited movie arrive disney plus honestly upset havent watched sooner great movie cast made movie fun enjoyed creatures dragon,Positive
87,worst marvel movie seen dateafter seeing movie honestly surprised high ratings watch thing movie without soul characters arent build enough even  hour run time movie literally got nothing ten rings movie became godzilla vs king kong end waste  hours honestly clueless people high praised movie waste opportunity create wonderful authentic world asian marvel universe,Negative
88,bad  im honestly shocked lazy writing really probably worst movie ive seen long time wow hate actors even fight scenes sooooooooo bad,Positive
89,"fighting scenes good cgi bad chemistry movie cast near absent woowoo arc big final fight happen whatever

movie  best removed  stars because

katy

what ass donkey character annoying every scene drains brain

even voice like woman clear throat stop smoking something ffs feels like asian chick available wokewood",Positive
91,preconceived ideas movie would surprised delighted probably one better standalone movies marvel verse definitely enjoyed ant man,Positive
92,"huge fan disneymarvel universe films late one shock me

this film well done great jackie chan feel movie rhythm pace fight scenes made sense trainer stunt coordinator one worked closely chan throughout career

the film great steered clear pc b great action superhero movie want see see movie

the action incredible main actor actress played sister incredible watch story also predictable made enjoyable

i highly recommend watching one help kind tie old iron man movies shows together",Positive
93,"shangchi legend ten rings review ua starring simu liuawkwafinatony leung

rating positive  simu liu acting  casting  fight scenes  entertaining st nd half  good direction  good screenplay  good cinematography  good visuals  music

negative  lag

 logic mistakes

verdictshangchi super treat marvel fans shangchisuperru sabharish g story shangchisimu liu living usa  years best friend katyawkwafina sometimeehe go native town reasons got ten rings story

must watch",Positive
94,shangchi arguably original entertaining origin story marvels delivered quite time coming someone whos slowly starting get superhero fatigue sides aisle one delivers spectacle family drama feels shakespearean times many ways wanted liveaction version mulan,Positive
95,"vibe movie really really asian thats great story like expected love concept little bit similliar like black panther friendship shangchi katy wholesome unexpected contain good messages especially chinese

the main thing really freakin love visual music extremly amazing great gorgeous magnificent",Positive
96,"ive watched movie twice far thought id enjoy less rewatch found good

shangchi legend ten rings epic introduction character keeps invested origin story definitely original story good job making character relatable enough keep emotionally invested

awkwafina nice addition movie jokes pretty corny still made laugh even rewatch

the highlights movie definitely bus scene near beginning final beautiful action sequence action general movie pretty amazing

while different vibe mcu movies formula definitely still isnt necessarily bad thing would nice movie bit unique story

otherwise stunning cinema experience even watching home make feel like youre movie theatre definitely recommend",Positive
97,"thought movie would suck honestly heard made thought shang chi terrible character powers always dread hollywood making asian movies lol

im chinese way finally watched blown away best movie year maybe one best marvel movies didnt involve blockbuster teamup like avengers infinity wars end game

so action packed excellent script insane graphic visuals insane fighting choreography alot character depth explorations well made indeed black panther movie asians say asians chinese culture affected asian countries last  years

dont let reviews bother alot people dont know talking honestly seen  person mention villain movie takes villain indepth look every villain drive  purpose things villain involved love may able comprehend view villains stone cold killers maybe destructive emotion type baddies

they wrote script villain amazingly considering originally mandarin stereotypical villain hated asians clever way able remove racist heritage character flawless funny amazing

i mean cmon hilarious way villain described name came

some even complained got lost whole movie found hard believe mean must low iq lmao go understand n follow movie beginning end step step process maybe could explored magical lands whois say wont future movies u needed know movie questions saved future marvel movies always do

the fight scenes bus charts rest see many chinese people hating film cuz feel fighting style like chinese movies fighting style dont get made movie good amazing way blended chinese western movies together fight scenes neither chinese western perfect blend

this stories villajn writting way thanos better thanos crazy mad villain purpose feelings goals involved world domination killing villain tony leung may many lines movie way carried presence acting outstanding

i watched tony leung hong kong movies  years acting impeccable brought life villain played gave earth also relatable character portrayal anyone position movie would chance go path know many might disagree easy see deviated good path took time back evil need understand character reasons experiences

the main character sima liu mean pretty good choice scenes fighting looked stunts amazing

i seen complain movie mandarin thats clearly comment made someone china mandarin speaking live old age black black white white grey

only way asians move forward hollywood blend west n east

maybe people might hate cause much asian characters n got mandarin language u got others hate cuz english groups need grow live year  cuz movie successful mixture cultures 

if movie another straight chinese martial arts flick would certainly successful west blend makes open races watch enjoy

the special effects movie charts amazing fighting too

this movie black panther asians opening door asians introduced commonly

if anyone china reads think u think hard want see chinese movies succeed future cuz u ccheer movie cause gonna open doors chinese actors n actresses

china blocking movie playing makes sense way china spread love share culture especially pandemic fiasco movie opens doors chinese culture westerners

so support movie stop bashing unfounded selfish reasons",Positive
98,"everybody around raved movie watched late im slightly disappointed didnt live hype praise seemed much like marvel movie truly impressed blend martial arts mcu fit perfectly wasnt another movie sprinkle asian characters representation actually tells story speaks language depicts details fight scenes fun light comedy gore cgi gooooood backstory narration made fantasy seem real

it pulled heartstrings connected iron man see coming though certainly made disappointment awkwafina katy movie lot slow parts parts losing interest seemed somewhat like good vs evil movie come think felt like disney movie trying teach asian cultures inherent good universe

ill agree dramatic stays  minutes post movie trying channel universe open palms gentle hand motions something every day",Positive
99,lot fun story wasnt tight could found enjoying whole movie regardless fight choreography bangin action well directed everything felt purposeful exhilarating beginning movie feels like straightup martial arts movie progresses get fantasy elements working way felt like nice contrast music definitely felt like added lot kept reminded mixing different elements traditional orchestrated sounds really worked black panthers soundtrack honestly think film even better think probably best thing marvel produced since endgame,Positive
100,"shangchi legend ten rings review ua starring simu liuawkwafinatony leung

rating positive  simu liu acting  casting  fight scenes  entertaining st nd half  good direction  good screenplay  good cinematography  good visuals  music

negative  lag

 logic mistakes

verdictshangchi super treat marvel fans

shangchisuperru

sabharish g

story shangchisimu liu living usa  years best friend katyawkwafina sometimeehe go native town reasons got ten rings story

must watch",Positive
101,"nonmarvel fans give movie  score beside good acting fighting style found interesting culture chinese fiction culture storied

moreover watch movie theres one favorite actress yeah awkwafina always look like silly wherever roles movie

oh yeah one thing honestly fiction animals movie disgusting",Positive
102,"rewatched shang chi disney enjoyed much first time theater movie redefines action mcu hope carries new films going forward

the first ten minutes chinese subtitles yes exposition flashbacks movie youre going understand nuances plot character motivations etc without called storytelling get references cultural identity immigrants family love

awkwafina simu great chemistry menger badass tony leung legend gives wonderful performance complicated tortured antagonist great humor everyones liking seems heart critique really usual devolvement cgi battlefest mcu movies always wind becoming thats minor quibble solid movie",Positive
103,adult think movie complete mess ancient master gets knocked quickly car driver woman  days training saves day everybody point big problem maybe would stop making kind situation several recent movies people always praising giving good scores really cant understand film industry improve way,Positive
104,"far marvel fantasy film generally like grounded reality history world current setting one really really going fantasy setting parallel universes chinese myth kinda felt totally fantastical really connected marvel universe

the fight chorography action scenes impressive entertaining movie could watched basis alone would job  unfortunately shang chi actually need compelling story interesting characters got massively overdone  evil father son seeks redemption arc supporting characters pretty much one dimensional  either good bad black white

i also felt samuel liu miscast main role donnie yen younger probably would done better job samuel screen presence

its entertaining kids think adults bored",Positive
105,"rated  language english source hotstar recommended

the story making worth watch big screen good sound system first half filled great actions funny moments get serious mode second half

the second half traditional sentimentalthe decent story colourful visual makes grand good movie watch family",Positive
106, new favorite marvel movie incredibly choreographed fight scenes much humor really strong sense heart love missed movies like,Negative
107,"feel handsdown one best marvel movies made date 😁🤘🏼

can also appreciate unpublicized highlights added value focused inclusivity without solely centered focal front amazing diverse actionpacked production 👏🏿👏🏾👏🏽👏🏼👏👏🏻

marvel marvelstudios movie shangchiandthelegendofthetenrings",Positive
108,theyre loveable likeable human movie great regret able see theaters thats fault truly hope racism came pandemic doesnt impede success franchise,Positive
109,one best marvel movies decade cinematography acting jokes background score everything point according story scene  actors action scenes hand hand combat another level,Positive
110,shangchi simu liu discovers allpowerful millenniumold father launch attack magical village shangchis mother born likely mistaken belief wife dead rather held captive plot one sentence sum matter story scaffolding special effects much fighting ensues fortunately everyone eventually learns get along faced real threat seen physicsdefying martial arts monsters look like recently swallowed strings led christmas lights conflicted heroes wisecracking comic relief sidekicks awful aquafina even awful ben kingsley giant melees featuring variety glowing weapons blood hyperkinetic hyperimplausible carmotorcycle chases lot clichéd wisecracks toughguy dialogue poseur slomo heroic vogueing treated venerable threepoint power landingslide number times novel thing film offer excellent rendering mythological beasts chinese culture otherwise overlylong  minutes  minutes much aquafina derivative repetitive ultimately boring entry bloated jejune micky mousemarvel superhero franchise,Negative
111,thought plot slow acting main character tiny bit dry stunning visceral experience intrigued end,Positive
112,film full surprises really perfect,Neutral
113,great flick action amazing throughout constantly growing changing fights never got boring awkwafina favourite mine great job family relationships really make compelling stories got antagonist tragic understandable story never felt  dimensional like many hero rising villains,Positive
114,"movie fabulous writings every character brilliant action sequences beyon imagination

worth watching

phrase  begins blast",Positive
115,went hoping fresh ideas low expectations boy surprised film amazing casting script acting everything else marvel really smashed,Negative
119,"hollywood trying woke chinese

always hate make villain really villain offend anyone shang chis father supposed pure villain mother storyline took away lot real storyline

awkwafinas character becoming boss archer one day training equally ridiculous

hopefully sequel made darker though ill admit mandarin funny touch",Positive
120,"personally top  comic movie

as fan chinese cinema onwards martial arts film fluid

now dc would kung fu based film got far greatest martial arts masters roster

shiva david cain bronze tiger karate kid casandra cain richard dragon on

maybe real film soul dragon",Positive
121,simple worth watching luckily subtitles chinese speaking parts helped especially start movie  minutes dont forget end credit scene ,Positive
122,"really looking forward movie seeing trailer decided wait comes disney

what saw surprised deeply chinese story probably made marvel movie lot fantastic beings really liked liked kind karate movie think something new comes marvel main character seems personable fun watch story unfold tell tells story shangchi got ten rings worth mentioning hero gained sympathy dealings best friend

to come conclusion would like say movie good deserves recognition ten stars movie ive waiting",Positive
124,watched movie twitter claiming best movie ever went high expectations watching found movie mediocre best cgi great apart everything ok best didnt connect character honest wait film come streaming services worth go cinema,Positive
125,"shangchi legend ten rings one best productions marvel studios big expectations movie didnt disappoint mostly based asian people martial arts big fan genre idea make marvels movie based martial arts interesting even already comics movie based on

the movie could expect movie made marvel special effects cgi strongest points one even regret didnt watch cinema clear movie made put light enormous ammount special effects big screen ive also impressed acting even storyline bad clear enough put lot effort wellmaking movie seems really achieved theyve wanted to

shangchi legend ten rings movie shines cgi acting storytelling",Positive
126,music screenplay writing direction everything point went theatre watch literally stunned crave background music simply good ultimately go best  hours youll wont regret,Positive
128,perfect fantasy film watch full family cant miss big screen,Positive
129,"could mistaken reading title thinking sarcastic

thankfullyim wow ive longing wow factor cinema since cinemas reopened film gave everything wanted

take away fact biased towards marvel movies guilty however fanboy loving marvel delivered mean top tier movies realms black panther thor  gotg infinity wars spiderman name few

from major comic runs coming screens jaw dropping movie show nothing pure joy culture mythical folklore mix pastpresent lets forget secret garden film expands marvel universe even deeper history

this film gave real belly laughs real emotional moment fantastic soundtrack match genuine winner year spiderman may hands full beating describe best introduction unknown character since bpgotg shangchi needs new staple marvel franchise new stories moving forward mention fantastic performance simu liu genuinely made yearn portrayal

what absolute treat ive watched twice third viewing feeing needed days go on

 star day every day bravo",Neutral
130,"iconic film excellent combat

perfect new start",Positive
131,mcu new characters always astonishing looking ahead timely updates,Positive
132,superb superb superb good movie must watch theatre,Positive
