Title_of_the_Review,Review_of_the_movie
Amazing movie!,"Truly an amazing movie! This movie depicts family very well. The visual effects are stunning, the martial arts are incredible, and there is just enough humor in it to relieve some of the darker notes. I can't wait for the sequel!"
Questionable script (and Awkwafina is just the worst),"The characters are a bit incoherent and straight up contradict their own characterizations at times, because the plot needs them to do it. There are a bunch of unneeded ""deux-ex machina"" or conveniences because the writers trapped themselves into corners for no reason (that's what happens when you get the 2021 ""Mortal Kombat"", ""WW84"" and ""The Expendables"" writers).

Also, we have Awkwafina destroying every type of scene (dramatic; epic; and also the comedic ones) with one of the worst ""acting"" I've ever seen and a same type of joke (""awkward nonsense"") over and over, from start to finish, with a role ridiculously large for a dumb comic relief.

But... Liu is actually pretty good as a lead (and his character is potentially great), and the ""Shang-Chi world"" is beautiful and it has everything to be super fun to watch in the future...without Awkwafine and better writers."
"beautiful science fiction, fantasy and action movie!","Everything comes in it beautiful science fiction and beautiful mythical creatures. Sometimes you have creatures that don't seem real, but these just seemed real. Well done! There was a bit of avatar feeling in it. Fighting for the safekeeping of peace. Really beautiful. And self-acceptance was also nicely incorporated."
Loved it,This was fantastic. Saw it in theaters then again as soon as it was out on streaming too! The story and characters were great to explore; the action sequences and special effects keep you immersed; and the actors all made the story come to life.
"Fresh Story, Great action scenes","I love all the movies from them but Shang-Chi and The Legend of The Ten Rings is one of my favorite marvel movies, it really managed to make a very nice movie, the story is usually a gorgeous one, the characters are very nice and you become very invested in the movie.

I was amazed at what good fight sequences are in the movie like this, the best since The Avengers 2012 and Captain America: The Winter Soldier 2014 maybe even better.

The CGI is incredible, I only saw such special effects on Avatar.

I have to say that I ran and saw the fight on the bus 5 times, it's awesome ... it manages to give you an energy boost, so cool The story is extraordinary, Shang-Chi confronts the past he thought he left behind, when his father wants to reunite his lost family.

Xu Wenwu played by Tony Leung is such a good villain, you understand why he does this, you empathize with him and although you know that the way he acts is wrong you understand his pain. Besides being a villain he is also my father and everything he wants to release his wife.

A very good villain, certainly one of the best villains of this year.

This movie blow me away, I love it. Lots of love from Bangladesh 🇧🇩"
Waaaaw!,"An amazing movie (Original, great cast, nice soundtrack, CGI is just pure eye candy, good comical releaf as usual) and great addition to the Marvel Cinematic Universe!!! Can't wait for what's to come!"
Simu Liu Brought It,"Really entertaining movie. Actors were great Simu Liu brought it big time he is excellent as the main character. Awkwafina is hilarious and I wish she had more screen time. As far as Marvel movies goes, it's not the best one but still very good."
Good action movie with all the MCU flavours,"Movie has a lot of stuff to keep you hooked.

1. VFX. Whole movie is visually stunning 2. Stunt choreography is awesome. Probably the best in MCU so far imo.

3. Background score. I felt goosebumps everytime the main theme kicks in. Soundtrack is good too.

4. Decent acting except the one who played Shang chi's father who had a menacing screen presence

Despite of the perfectly blended Chinese culture and the MCU's successful (so far) action formula, this movie isn't free from cliche moments. I just wished the second half was less predictable and had something more to offer."
This like anime but love action which is great,This film is a love letter to Asia. The creatures the atmosphere the fights. They really took their time with this. Many people complain about final fight but if you watch anime or know of anime you should know better.
Loved it,Asian representation without compromising on storytelling. Great cinematics and CGI. Can't wait to see what the Marvel team delivers next. Perfectly executed!
Better than expected!,
Brilliant,I absolutely loved this film. It's packed with action and really good martial arts. The film is really funny. It's got a great story line. The acting is fab.
Kickass movie,"Entertaining movie ..worth it ..the bus scene ..oh boy ..on loop ..overall visual treat , neat cgi and enjoyable marvel movie ..you will love it ..don't miss it."
AWESOME MOVIE!!,The movie was awesome.much better then i expected............action was awesome and the plot was awesome too......acting was quite good.highly recomend seeing this.
Great Origin,"Shang-Chi and the Legend of the Ten Rings (2021)

Well what a pleasant surprise, very much in the style of Black Panther, this origin story was really great from start to finish.

I saw this at the 3D 4DX at the O2 and we were thrown about, blown on, rained on and every other sensation at every turn it was fab-u-lus!

We had some great acting some great humour and plenty of ""magic"", for Marvel fans after the lacklustre Black Widow, the disaster of the Winter Soldier. Two goodens in a row what with Snake Eyes!

The fight scenes we well worked through and the opening bus sequence was very memorable. I don't thing there was anything I didn't like about this movie so I'm giving 10 outta 1."
LIVELY!,"Watched the IMAX version! Best solo since Iron Man (2008)! I had no expectations of this before. But the movie is much more lively. Enjoyed every moment. And also very engaging from start to finish. A kinda Cute-Action movie with some fun stuff!

This is the first movie that focuses more on martial arts than Marvel's superpower thing. Love to see a mix of Marvel's MASTER-LEVEL-CGI with Martial art. Kung-Fu with this kind of visual effect! Marvel nailed it again.

I've always loved Marvel's casting. Katy is too perfect for her role. Loved her chemistry with Shaun. Also laughed out loud at her childish stuffs.

Just one thing, not a big deal, the action scene of 'Dragon Riding' doesn't fit into the usual Marvel movie. But as Chinese flavor, it is OK. Except for this, the cinematography and VFX are a lot mesmerizing!"
Who knew a superhero film could be so beautiful?,"I'll start by saying that if you're looking for a great story, you'll be disappointed. Shang-Chi is a pretty standard hero's journey at its core, which is a shame because the story could have been inspired by House of Flying Daggers and other wuxia titles.

So why a rating so high? Because where the story falls, everything else excels.

Shang-Chi is visually spectacular and a real treat for the eyes with some visuals that are incredibly distinct for the MCU. In regards to aesthetics, Black Panther walked so Shang-Chi could run a marathon.

The fight scenes are all amazing. There's one weak fight, but it's meant to be weak, and they're all very long, which is great to see. One of the early ones went on for a solid 5 - 10 minutes, which was unexpected but far from disappointing.

The first actual fight scene is my favourite in the MCU, and I was worried none of the others would top it, but they were all delightful to watch, and I was so glad they did a parallel of it later on. Either way, the writers went hard on the fight scenes and that paid off.

In summary, the story is lacking, but I'm glad in a way because that allowed everything else to shine. And shine, it did. I hope future directors take lessons from the aesthetics and choreography of Shang-Chi."
Not too bad...,"Overall this movie exceeded my expectations. I wish I had gone to see it in theatres because visually, this movie is stunning. All the fight scenes, especially the ending would have looked even cooler on the big screen.

But stepping back and thinking about the actual story, it's kind of random, predictable at times and I'm not seeing how they're going to incorporate it into the rest of the MCU.

The other thing is the fight scenes: the choreography, the cinematography, the effects, they were great, and I think they knew that, so they took advantage of it. During the first half of the movie there would be a new fight scene every fifteen minutes that looked fantastic, but seemed to last just a bit too long.

All in all I liked it. The acting was pretty good, the pacing was reasonable, the soundtrack was unique and the visual effects were a strongpoint It was a good movie."
Screen play 😲😲,
Could've been great,"Shang-Chi is a boring film. The characters were okay, but the story was choppy and confusing. The song choices were odd. Plus, this movie was way too long. And the scene at the end had me practically falling asleep."
Entertaining action movie with great special effects.,
ALMOST a Superhero-Masterpiece,
A Ringer for a Great MCU Flick,
It was okay...,"I really liked that the actors spoke their native language, Mandarin, because it would've felt too Americanized otherwise. But there was something unfinished about this movie and I'm not sure what it is. The pacing was alright, a little too slow or fast at times, and as far as storylines go, it was not as exciting as I thought it would be. The fight scenes were great though, especially the final grand battle scene."
This could've been great if it wasn't for the cheesy writing.,"The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.

It's a shame, because the directing and cinematography were spot on, and great S/VFX - although a little overboard with the CGI i.e. Dragons. The martial arts choreography was outstanding (although again, overboard after the awesome bus scene), and the casting and performances were excellent, especially Leung, who pretty much carried the film on his shoulders. It's a 7/10 from me."
Great magical action film.,"Spiritual magic, martial arts, fighting, comedy. It has a bit of everything for everyone. I highly recommend this film. Marvel superheroes at their very best. If you watch films like this for escapism you won't be disappointed."
You can't miss this,
Mediocre film from Marvel,"Let's agree that it is a bad movie from multiple points of view. It depends a lot on the visual effects, its main characters can be funny but not nice, the story does not generate much interest and we have seen the fights many times and in a better way in almost any film produced in Hong Kong, Indonesia or Thailand of the last twenty years. The only thing that saves this film is the karaoke scene that is unexpectedly welcome. The rest is routine, mediocre, tiring and bland."
Director and Actors were spot on,
Amazing,"I am so happy that I watched this in the cinema! I found it really funny, perfect balance of serious and amusing. The Mandarin speaking makes the film feel so much more authentic. The amount of films I have watched that are set in another country but start speaking English, it makes them feel unrealistic. Again, this film is amazing and is worth your time."
Aesthetic,
Actually Really Enjoyed It!,"Whoa! I watched Shang-Chi because I wanted to put something on in the background and I just ended up getting invested!

I would go to say this is one of the best singular films in the MCU. I found films such as Thor and Black Panther slightly boring. They are full of information but I just couldn't get invested as much as I wanted too. I'd slightly fallen out of my obsession with the MCU over the past couple of years, but Shang-Chi could help bring my obsession back.

It's about so many things at once, but the main plot is basically about Shang-Chi trying to find family with his friend Katie. That's the best way to describe it without minor spoilers. I believe this film really represented the culture well, and the scenery really helped to intrigue me to keep watching longer. The characters are all pretty likeable too and the fight scenes were amazing!

A criticism I would have, which I have with many Marvel films, is that I feel like some scenes dragged on a little too long, but that's me really picking in details. I also found it hard to follow the plot at one point, but I soon picked back up what was happening.

I really recommend this, even if you're not a fan of the MCU. I'd say it's one of Marvels strongest movies that has released recently! Really looking forward to where Marvel takes this series next."
Quality marvel movie,
A perfect movie,I think Shanchi was perfect for the film and he deserves a great score. I saw the film and it was wonderful. I suggest you to see that there are excellent and perfect actors in the film.
More of this Disney!,"Cretton is an amazing director, and he like totally proves it here once again. I love the way he tells stories, and Shang-Chi is finally not just like every other mindless Disney film of their new big franchises. The action is worth it compared to other Marvel films, and the acting is to be expected as great considering at least Disney knows how to hire actors, albeit they don't let people often tell real stories. Go watch this! Somewhere! Anywhere! Everywhere!"
Loved this movie,"I am not a comic book reader and I knew nothing about any of the marvel characters but I have enjoyed the movies so far. And this movie is no exception! It was greatly entertaining, I liked the characters even though I knew nothing about them coming into the movie. It was funny, and cool action scenes and overall, just a good movie!"
Best Marvel Movie,"Hands down the best Marvel movie they've made. This movie was perfect in every way. Flow, casting, comedy, action, drama, CGI, story... literally everything was perfect.

The amount of emotional investment in the characters was was deep! It was just the best movie I've seen in such a long time!"
Amazing!,"MCU aside, this movie stands alone as an epic masterpiece on its own! The fight scenes were visually stunning, great acting, great story highly reccomend!"
"Crouching Tiger, Hidden Superhero.","Martial arts meets the MCU in Shang-Chi and the Legend of the Ten Rings. More Crouching Tiger than Jackie Chan, the plot for the film is kinda hum-drum, the sort of mystical Eastern fantasy cobblers that practically writes itself.

Shang-Chi is the son of immortal, power-hungry warlord Xu Wenwu (Tony Chiu-Wai Leung) and Li (Fala Chen), a warrior woman from the hidden village of Ta Lo. After falling in love with Li and becoming a father, Wenwu gives up his wicked ways and packs away the ten legendary rings that gave him much of his power. However, after his wife is killed by his old enemies, Wenwu once again wears the rings and trains his son to become an assassin. Ashamed of what he has become, Shang-Chi goes into hiding in America and becomes Shaun (Simu Liu), but his past eventually catches up with him when his father sends his army, The Ten Rings, to steal the pendants given to him and his sister Xialing (Meng'er Zhang) by their mother. Wenwu requires both pendants to reveal the way to Ta Lo, where he believes that his wife is being held captive by her people.

This Marvel movie is at its most fun before the plot starts to get in the way and the CGI becomes too overbearing and intrusive: the early fight scenes - a battle on a runaway bus against a henchman known as Razor Fist, and a fight on some high-rise bamboo scaffolding - deliver lots of impressively choreographed action that will please both martial arts fans and superhero addicts. Awkwafina, as Shang-Chi's loyal friend Katy, provides some comic relief, but also gets stuck in with the action.

Unfortunately, the film quickly goes downhill after the good guys make their way to Ta Lo, with a little help from Tony Slattery (see Iron Man 3) and a furry winged creature with no face. The inevitable battle between the villagers and Wenwu's army is typical overblown Marvel mayhem, but the massive CGI tsunami arrives when Wenwu opens the inter-dimensional gate that he thinks is holding Li prisoner: instead of releasing his wife, he frees a swarm of flying tentacled soul-suckers and their big bad boss The Dweller. Fortunately for the Ta Lo people, they have a massive magical dragon on their side, which wakes up and adds to the digital whizz-bangery.

As technically impressive as the special effects are, I found the second half of the film visually overwhelming yet remarkably uninvolving - a whirlwind of pixels and noisy action without much substance.

5/10. It was nice to see HK/Chinese stars Michelle Yeoh, Tony Leung and Yuen Wah together in a Marvel movie; I just wish it had been a better one."
Amazing story,"A very extraordinary story in a film production.

Just an input, I think it would be very extraordinary if every country in the world opened several places to be used as places for promotion of new production, of course also with the language of that country. This is an example of a good film production but not a few do not know that this is a good film."
Well done Shang Chi,
Another great Marvel Movie,"I loved the cast, music, plot, everything. I especially loved Xialing because she was so powerful. Morris was also so so adorable. I really enjoyed all the action, as well as some comedic scenes and I'm so ready for the next Shang-Chi movie!"
A lot like Chinese Xianxia novels but theres no you're courting death,"This is a really good uptake on a marvel movie. Its definitely not like other movies in the MCU, the different cultural aspect makes it a fresh approach and the action scenes are stunning. The story is marvelously portrayed, its a simple story but the direction is amazing and the screenwriting and the vfx team. They did a great job. I loved this movie."
Shang Empty,"Sorry for the delay.

Here we go...

I'm not feeling this movie. It starts with promise but It lost me after Wong vs Abomb.

The fighting is exciting. The movie lacks excitement though. It's a plain dull movie.

It's about a Karate master and... yeah the movie lost me and I have know idea what it's about. This is the first mcu film that I lost interest for midway. Even Im3 wasn't so bad because I lost interest from the very beginning.

Gotg2, mcu Spiderman 1/2 and IM3 are still the worse in mcu. Shang Chi just joined the club.

A movie so full of emptiness that it makes an empty box jealous

I'm not sure how this is a 7. Fans and the average movie goer should also be held responsible for horrible movies.

This movie ain't a 7 even if you watched this movie as blind and drunk.

They tried to be funny by having Wong be rude by drinking the couple's drink at the end credit scene. That wasn't funny at all. Wizard or not.

Speaking of funny, I didn't laugh once. When I used to watch these movies in theatres, the audience often told me when I should have laughed. I watched it at home, therefore I didn't know my cue of when to laugh.

The mcu needs to chill with the daddy issue plot

THOR Loki daddy issue Black Panta daddy issues Stark Daddy issues Star lord Daddy issues Ultron daddy issues Nebula and Gamora daddy issues Shang daddy issue Wasp daddy issues Scott langs daughter Daddy issues

No one has mommy issues.

Don't watch this movie."
Dumb and Stupid....,"It had potential but marvel has this tendency of degrading everything into mindless comedy...

Things just happen, to an extent where Awkwafina is now an avenger... I'm getting too old for this s#.t.."
Fighting scenes were really good,"Obviously this film is heavily Americanized, but the martial arts were so beautiful and well done! I haven't seen fighting scenes like that for a hot minute and it brings me back to my childhood, like watching Jet Lee, Michelle Yeoh, and Jackie Chan. I really wish they spoke more mandarin in specific scenes though. The English made scenes weak to me personally, idk being threatened in English didn't cut it, but when the villain threat the elder in mandarin, that hit different.

Overall, I loved the movie and am so proud that an Asian protagonist is in the MCU. I understand they want the movie to appeal to Americans, but I'd wish they keep the movie a bit more Asian traditional than super Americanized lol."
Disappointment,"People voted 8-10, rly? For what? Story line is primitive and the gaps filled with some martial arts. ""and the Legend of the Ten Rings"" there was no any legend at all, just rings which give some super powers we see them in the begging of the movie and at the end. Producers added Ben Kingsley and Benedict Wong to tailor Shang-Chi to other MCU movies, but it feels so disconnected like Billy Bob Thornton as a Santa in Bad Santa. Michelle Yeoh is playing Crouching Tiger again, it's so SAD that Hollywood does not give her non-kung-fu roles, she has talent for sure.

In short, after 1hr I started to check my watch because the whole thing was so boring I just wanted it to end."
"Good choreography, disappointing story",
Better than expected,
"Pretty great action, overall fun film to watch","Shang-Shi and the Legend of the Ten Rings is definitely pretty high up on my MCU list, a lot because of it's really well directed action sequences. In a lot of previous MCU fight scenes it can be kind of hard to even tell what is going on half the time. But in Shang-Shi, not only are some of the fight scenes really interesting like that one scene on the bus where we get that continuous shot of Shang-Shi moving up the bus through a bunch of people, or the scene where they're attacked on the side of the building and half to climb down this thing, jumping and swinging around it. Also, the movie looks AWESOME at some times, and it's kinda' like a light show. The special effects look great, and the movie is well directed, and fun to watch.

Really the only problem I have with movie are just smaller, like the movie kinda' slows down toward the middle. There's also that scene toward the end of the movie, where we see him flashing back to his mom getting taken away, which seems kinda' useless and just to dramatize everything before we reach the big climax.

But other than that, the movie is totally worth the watch and I highly recommend it."
Not a fan of Marvel movies but enjoyed this,"This film felt refreshing and didn't feel too much like a marvel movie. Felt like I was just watching a mythological modern film.

I had a good time watching it. Only downside was some of the CGI felt very rushed at some points. But Iwas willing to overlook it as I think it is worth the watch."
Marks a bland start to the new phase of Marvel Cinematic Universe,"Destin Daniel Cretton's 'Shang-Chi and the Legend of the Ten Rings' marks a bland start to the new phase of Marvel Cinematic Universe. It is a spectacle with regards to action sequence and fighting choreography, but the film misses a solid storyline for an origin story as its titular character lacks personality and does not go through any heroic transformation story arc. Simu Liu has a strong presence as Shang-Chi, yet he is overshadowed by many of his more experienced co-stars."
something unique and fresh,"After 10 years of almost every movie being.armed combat, this one is fresh and the perfect start for phase 4 (yes, the start is with black widow but is something ""old"", too related to the previous phases), i loved every single moment, i got chills, i laughed. The soundtrack is astonishing, as the.cinematography. The best of the mcu if i may. Loved the colors. The fighting sequence leave you attached to the screen as they seem like they are dancing. All combined is something else, completely new and i can't wait to see more of simu liu as shang-chi because he was.brilliant.

Go see the movie!!"
Brudy gud frilm,So much better than a lot of other Avengers spin offs. Entertainment without limits. Apart from some technical goofs a great mix of magic and action. Nice to see ordinary looking actors getting main parts.
Wow!,"From Beginning to End I enjoyed this movie. It is well done, The characters are well written and honestly, I would love to see more Shang Chi and other characters in future marvel Movies and TV Shows. I love how Phase 4 is going so far, I can not wait to see more of the Expanding Marvel Cinematic Universe in Movies and TV Shows. Overall, Fantastic Film!"
Get some,"If you only ever watched one movie at the cinema in your entire span of days, make it this phenomenal sight, sound and super spectacular sensory sensation. Smashes everything out of the park! And some."
Unpredictable,"Film is great overall and in this genre at least, is one of the best all year round that has been generally lacklustre. Definitely a good movie to watch as it does what it is supposed to in that it is generally a setup film for something bigger in the MCU."
Must watch a second time,"After watching this movie in the theater, I thought, ""Wow, that was not what I expected, it was more visually appealing than I thought it would be"". At 2nd watch, I really was impressed how rock solid the story was. I loved the way they Humanized Xu Wenwu and made this a tragic love story. The acting was amazing when it came from the amazing actors (obviously). Tony Leung, Ben Kingsley and Michelle Yeoh are legends and acted accordingly. Simu Liu will rightfully be a superstar because of his performance. I want to see more of Meng'er Zhang, I think that she has huge potential. My only disappointment was how quickly Death Dealer died. Andy Le is an awesome performer.

Combining everything, this may be my favorite Marvel Movie of all time... and I didn't even Mention Morris!"
Highly recommended!,"Fun, solid blockbuster elevated by its sensitive treatment of culture and the migrant experience. The fight choreography was excellent, best I've seen in a while - dynamic, engaging, fresh. The soundtrack was also incredible.

The film takes care to depict the lives of millenial Asian migrants, including all the karaoke (!) (Source: I am an Asian millennial migrant)

Strongest point of the movie is the always-superb Tony Leung, who really brings the character of Wenwu to life. One of the best - honestly, the best, Marvel villain to date. My only wish was that Michelle Yeoh had a bit more to do on screen."
Good but seems familiar,
ignore the bad reviews!!,"Now one of my marvel favs (as a fan since the beginning!)- this movie is so beautifully written, the storyline is original and creative, and the acting is impeccable. Another phase 4 hit!!!"
Beautiful MCU movie with crazy action scenes.,"Shang-Chi And The Legend Of The Ten Rings is the 25th MCU (Marvel Cinematic Universe) movie which also has the 1st major Asian representation in the MCU.

I loved the film because it had an amazing story filled with a lot of elegant, eye-pleasing scenes and super awesome crazy action scenes such as the bus fight. The movie also includes amazing martial art techniques and beautiful Chinese things too.

This film doesn't have recognizable adult stuff and very violent action scenes as many of the previous MCU productions had, which makes the film, ""Shang-Chi"" suitable even for younger kids like age 10. I didn't even feel the time passing by when I was watching this film because the story had an amazing flow with the stuff I mentioned before. I can't say anything else about the movie as I might include spoilers.

Shang-Chi And The Legend Of The Ten Rings is an amazing, beautiful, action packed movie for the start of major Asian representations in the MCU."
One of the best marvel movie,"When a Marvel movie released audience has a certain expectation how it should be. And this movie exceeds the expectations for a Marvel movie with a great story and great cast. Casting, directing and specially the art direction of the movie had a certain quality which usually could not see in most of the movies in recent past.

Overall the mystical theme of the movie added a special feel to Marvel movies."
Great fight scenes...,"....and that's at least the minimum you'd want from this type of action film. And that bus scene, whhooo! I also loved the mixture of languages in some scenes (I don't have a problem with subtitles). All of the leads are well cast, as are several supporting characters, and the script is pretty tight."
Good action flick with just enough comedy,"The Action scenes were on par with the crouching tiger hidden dragon and other awesome awesome Kung Fu movies that that came before. There was bruce Bruce Lee and Jackie Chan is Jackie Chan elements to elements to the fight scenes.

The comedy was not over the top or too much or forced into areas to break up the heavy drama. Like the Cape in Dr. Strange whipping away the tear.

Hoodnmobie, better than I expected."
Shang Chi review,"This film us well written and directed. All the action sequences are well choreographed. This is an origin story but it will not give you marvel movie vibe(in a positive way) until and unless you will see the post credit scenes. Yes, there are 2 credit scenes. Simu liu and Tony was the highlight of the movie, Awkwafina has also performed well. Her chemistry with Simu was extraordinary and her comic timing was also perfect."
"It's very pretty, but the story/plot is mediocre and filled with holes","As far as visuals go, this movie is amazing... like just about as impressive as Dune, it's filled to the brim with eye-candy.

The plot/story however is mediocre and filled with plot holes... the characters' actions are often unrealistic and they will often just 'stare in awe' at their friends being killed, instead of doing the realistic thing, and immediately defending their friends... it's something that happens like 5 times and honestly spoils the movie for me.... if characters in a movie don't act or react realistically and stare at something like a braindead zombie (like their friends getting killed right in front of them, whilst they are holding a gun in their freeking hands), then it's just really terrible script/plot writing.

Overall, the movie isn't as bad as Ant-Man 2 but it's not far behind. Also, Awkwafina's acting style was already old by the 2nd movie she did... ALL of her characters in movies are the same person, and like I said, it got boring after the 2nd movie. I roll my eyes at everything Awkwafina's character does in the movie.

It's a 5/10 movie, not really worth a watch unless you're a real die-hard Marvel fan."
Marvel's pandemic marvel,"I'm a big time marvel fan and would have anyway rated the movie good. But I genuinely loved the movie and instantly rewatched which I rarely do given the plethora of content available these days.

I would even rate the movie better then endgame. It has more action and less talking."
Well acted by Tony Leung,"Appreciate the character played by Tony Leung Chiu-Wai of Xu Wenwu. His acting, charm and charisma was so brilliant that even though he was the villain. He empowered it with his acting skills.

The movie has exceptional choreographed action choreography that we have not witnessed since Captain America: Winter Soldier. Great sequences of martial craftsmanship."
Great new entry to the MCM,"A tad too heavy on the CGI and a bit too much wire work, making it more like ""crouching tiger"" in some of the fight scenes, but definitely one I'll enjoy re-watching."
Stunning,"This movie was stunning. From the visual effects to the heart of the story to the phenomenal cast. I laughed, I cried and sat on the edge of my seat. Well worth taking the risk during the pandemic to go see this one in the theater. The music was great as well. Will definitely buy it when it comes out for rewatch. One of the best Marvel movies IMO."
So ends the Marvel Universe,To see Sir Ben Kingsley reprise his role as comedy relief for a movie that already has us suffering through another Awkafina performance is sad and redundant. This is what happens when Disney and Marvel try too hard to find a path forward after Endgame. The Asian theme is new but the vague attempts to tie the movie to the MCU smack of desperation. This is just not a good movie. A lot of expensive visuals but that does not make a movie good. Lots of narrative and exposition to explain the visuals but that does not make the movie good or interesting. I understand that it is show business and this movie was made to make money but if I hadn't been lucky enough to watch it on Disney+ I would feel cheated.
This is highly overrated,"Boring and poor storyline.why there have to be a dragon if it's a Asian origin movie, this is such a stereotype. This is marvel's sad attempt to cover all the Asian market. Avoid this."
One of the best marvel movies yet!,"I was blown away with this movie! It reminds you of an old jackie chan movie yet still being modern enough to bring in a new audience. The acting is great, the special effects are amazing and the fight scenes.... OMG they are the best fight scenes I have ever scene in a movie!! And the soundtrack to go along with it is just perfect.

All and all this is a great addition to the mcu and I'm excited to see where they go with Shang-Chi next in the mcu."
Shang-chi,"I loved the movie , it is awesome , in fact i've never seen this type of amazing marvel movie...the story line , the graphics , the vfx , the visuals are just fantaboulous ...I strongly suggest you to whatch this piece of art. Loved the acting of the actors , I really loved the way they mixed american and Chinese culture with Chinese language used here and there ... Great movie."
Tony Leung Brilliant performance made the show more than incredible.,"The cgi are rather mudane but Tony Leung Performance was simply brilliant.

Its like his eye can transmit the sorrow Simply brilliant. I think an award should be apt.

The henchmen were rather underwhelming as well but all is saved by Tony's performance Wish there can be more story on the dragon and the evil dragon."
Awesome,Great effects. I have waited for the movie to arrive on Disney plus and I honestly am upset I haven't watched sooner! Great movie. The cast made the movie very fun and I enjoyed the Creatures and dragon!
